county_id,county_name,cars_per_1000_citizens
1730, Eda,465
1737, Torsby,457
1760, Storfors,548
1761, Hammarö,465
1762, Munkfors,527
1763, Forshaga,492
1764, Grums,492
1765, Årjäng,401
1766, Sunne,428
1780, Karlstad,401
1781, Kristinehamn,458
1782, Filipstad,476
1783, Hagfors,512
1784, Arvika,446
1785, Säffle,450
1814, Lekeberg,472
1860, Laxå,503
1861, Hallsberg,479
1862, Degerfors,522
1863, Hällefors,464
1864, Ljusnarsberg,486
1880, Örebro,364
1881, Kumla,473
1882, Askersund,509
1883, Karlskoga,470
1884, Nora,454
1885, Lindesberg,465
1904, Skinnskatteberg,495
1907, Surahammar,525
1960, Kungsör,495
1961, Hallstahammar,490
1962, Norberg,490
1980, Västerås,401
1981, Sala,447
1982, Fagersta,459
1983, Köping,460
1984, Arboga,461
2021, Vansbro,465
2023, Malung-Sälen,444
2026, Gagnef,498
2029, Leksand,451
2031, Rättvik,474
2034, Orsa,460
2039, Älvdalen,477
2061, Smedjebacken,534
2062, Mora,464
2080, Falun,431
2081, Borlänge,448
2082, Säter,509
2083, Hedemora,492
2084, Avesta,486
2085, Ludvika,472
2101, Ockelbo,458
2104, Hofors,499
2121, Ovanåker,459
2132, Nordanstig,461
2161, Ljusdal,427
2180, Gävle,401
2181, Sandviken,476
2182, Söderhamn,479
2183, Bollnäs,448
2184, Hudiksvall,452
2260, Ånge,447
2262, Timrå,494
2280, Härnösand,412
2281, Sundsvall,429
2282, Kramfors,452
2283, Sollefteå,448
2284, Örnsköldsvik,443
2303, Ragunda,430
2305, Bräcke,428
2309, Krokom,420
2313, Strömsund,433
2321, Åre,406
2326, Berg,398
2361, Härjedalen,451
2380, Östersund,398
2401, Nordmaling,419
2403, Bjurholm,371
2404, Vindeln,380
2409, Robertsfors,405
2417, Norsjö,389
2418, Malå,397
2421, Storuman,422
2422, Sorsele,399
2425, Dorotea,431
2460, Vännäs,422
2462, Vilhelmina,428
2463, Åsele,413
2480, Umeå,353
2481, Lycksele,426
2482, Skellefteå,414
2505, Arvidsjaur,426
2506, Arjeplog,430
2510, Jokkmokk,422
2513, Överkalix,440
2514, Kalix,467
2518, Övertorneå,412
2521, Pajala,387
2523, Gällivare,514
2560, Älvsbyn,472
2580, Luleå,413
2581, Piteå,480
2582, Boden,461
2583, Haparanda,465
2584, Kiruna,472
